name
"Alfa Romeo"
"Audi"
"Benalu"
"BMW"
"Castera"
"Chevrolet"
"Chrysler"
"Citroën"
"Dacia"
"DAF"
"Daihatsu"
"Divers"
"DS"
"Fiat"
"Ford"
"GEM"
"Gen Trail"
"Harley Davidson"
"Honda"
"Hyundai"
"Infiniti"
"Isuzu"
"Iveco"
"Jaguar"
"Jeep"
"Kia"
"Lada"
"LAG"
"Lamborghini"
"Lancia"
"Land Rover"
"LDV"
"Legras"
"Lexus"
"Louault"
"MAN"
"MATRA"
"Mazda"
"Mega"
"Menci"
"Mercedes"
"Mini"
"Mitsubishi"
"Nissan"
"Opel"
"Peugeot"
"Piaggio"
"Porsche"
"Renault"
"Saab"
"Samro"
"Scania"
"Schmitz"
"Seat"
"Setra"
"Skoda"
"Smart"
"Spitzer"
"SsangYong"
"Subaru"
"Suzuki"
"Tesla"
"Toyota"
"Trailors"
"Van Hool"
"Volkswagen"
"Volvo"
